HJD,MAG,ERR,SRV
3282.49389,0.1269999999999989,0.009,OGLE-III
3288.56024,0.17800000000000082,0.008,OGLE-III
3293.53082,0.15899999999999892,0.007,OGLE-III
3300.52462,-0.025000000000000355,0.009,OGLE-III
3314.52591,0.1460000000000008,0.012,OGLE-III
3417.85975,-0.032999999999999474,0.008,OGLE-III
3422.88609,-0.10999999999999943,0.007,OGLE-III
3426.87713,-0.058999999999999275,0.012,OGLE-III
3429.86217,0.1479999999999997,0.008,OGLE-III
3432.90249,-0.06899999999999906,0.008,OGLE-III
3442.90499,0.08500000000000085,0.009,OGLE-III
3445.818,0.1529999999999987,0.008,OGLE-III
3447.86833,0.038000000000000256,0.008,OGLE-III
3449.88517,-0.10599999999999987,0.008,OGLE-III
3452.90234,0.16400000000000148,0.008,OGLE-III
3453.77422,-0.08900000000000041,0.009,OGLE-III
3455.84484,-0.04299999999999926,0.009,OGLE-III
3456.85594,0.1410000000000018,0.008,OGLE-III
3457.77361,-0.019000000000000128,0.008,OGLE-III
3458.8172,-0.0649999999999995,0.008,OGLE-III
3459.79177,-0.09600000000000009,0.008,OGLE-III
3467.89454,0.012000000000000455,0.008,OGLE-III
3469.8042,-0.08499999999999908,0.008,OGLE-III
3470.8443,-0.11500000000000021,0.008,OGLE-III
3472.77556,0.1509999999999998,0.008,OGLE-III
3473.87058,0.15800000000000125,0.009,OGLE-III
3474.84182,0.045999999999999375,0.008,OGLE-III
3477.77954,0.16000000000000014,0.01,OGLE-III
3478.89383,0.0470000000000006,0.008,OGLE-III
3480.84579,-0.019999999999999574,0.008,OGLE-III
3481.84569,-0.09199999999999875,0.008,OGLE-III
3483.7901,0.1460000000000008,0.008,OGLE-III
3496.74398,-0.12899999999999956,0.008,OGLE-III
3497.81172,-0.13699999999999868,0.008,OGLE-III
3498.93293,-0.06199999999999939,0.007,OGLE-III
3499.7404,0.14499999999999957,0.008,OGLE-III
3500.74499,0.053000000000000824,0.009,OGLE-III
3501.83571,0.09499999999999886,0.007,OGLE-III
3502.69132,-0.025000000000000355,0.008,OGLE-III
3503.70416,0.16900000000000048,0.008,OGLE-III
3504.71852,0.1479999999999997,0.008,OGLE-III
